Store,Dept,Date,Weekly_Sales,IsHoliday
1,6,2012-08-10,-139.65,False
1,18,2012-05-04,-1.27,False
1,47,2010-02-19,-863.0,False
1,47,2010-03-12,-698.0,False
1,47,2010-10-08,-58.0,False
1,47,2011-04-08,-298.0,False
1,47,2011-07-08,-198.0,False
1,47,2011-10-14,-498.0,False
1,47,2011-12-23,-498.0,False
1,47,2012-02-17,-198.0,False
1,47,2012-03-16,-199.0,False
1,48,2012-03-23,-223.0,False
1,54,2011-01-21,-50.0,False
1,54,2011-05-20,-15.0,False
1,54,2012-03-09,-21.0,False
2,18,2012-06-01,-1.97,False
2,18,2012-07-27,-3.03,False
2,45,2010-04-09,-118.0,False
2,45,2010-05-07,-0.98,False
2,47,2010-07-30,-1098.0,False
2,47,2010-08-20,-498.0,False
2,47,2010-10-15,-1098.0,False
2,47,2010-11-19,-1098.0,False
2,47,2010-11-26,-159.0,True
2,47,2011-02-04,-219.0,False
2,47,2011-12-30,-88.0,True
2,47,2012-07-06,-28.0,False
2,48,2010-03-12,-3.0,False
2,54,2010-11-12,-6.16,False
2,54,2011-01-14,-2.0,False
2,54,2011-06-24,-38.0,False
2,54,2011-12-09,-22.5,False
2,54,2012-02-24,-4.0,False
2,54,2012-04-20,-32.0,False
2,99,2010-12-24,-147.0,False
2,99,2011-06-03,-20.0,False
2,99,2012-06-29,-29.88,False
3,32,2011-09-30,-1008.96,False
3,47,2010-05-28,-78.0,False
3,54,2010-05-28,-29.0,False
3,54,2012-06-15,-36.0,False
3,59,2011-08-05,-4.93,False
3,59,2012-08-24,-3.5,False
3,59,2012-10-05,-12.97,False
3,59,2012-10-19,-7.48,False
3,77,2011-01-21,-9.96,False
4,18,2012-06-29,-0.92,False
4,47,2010-09-17,-898.0,False
4,47,2011-09-16,-31.0,False
4,47,2012-01-06,-88.0,False
4,47,2012-04-20,-298.0,False
5,6,2011-11-18,-101.26,False
5,19,2010-03-05,-6.88,False
5,19,2010-12-03,-19.27,False
5,19,2011-08-12,-8.0,False
5,45,2010-05-28,-7.96,False
5,47,2010-05-07,-58.0,False
5,47,2011-07-29,-50.0,False
5,47,2011-08-12,-22.0,False
5,47,2011-11-04,-60.0,False
5,56,2010-07-30,-7.05,False
5,59,2011-02-11,-1.0,True
5,59,2011-07-01,-11.76,False
5,59,2011-07-15,-12.67,False
5,59,2011-10-07,-3.22,False
5,59,2012-02-10,-3.14,True
5,59,2012-05-04,-7.97,False
5,59,2012-08-03,-10.68,False
5,59,2012-08-17,-7.64,False
5,77,2011-12-30,-23.85,True
5,94,2011-07-01,-2.5,False
5,98,2012-04-20,-5.96,False
6,18,2010-05-07,-10.5,False
6,18,2010-06-04,-4.88,False
6,18,2011-03-11,-0.2,False
6,18,2012-04-27,-1.03,False
6,36,2010-02-12,-50.0,True
6,45,2010-12-03,-11.96,False
6,47,2010-02-05,-59.0,False
6,47,2010-04-30,-698.0,False
6,47,2011-02-25,-97.0,False
6,47,2011-04-08,-198.0,False
6,47,2011-10-07,-298.0,False
6,47,2011-12-30,-197.0,True
6,47,2012-01-13,-33.42,False
6,47,2012-01-20,-119.0,False
6,47,2012-02-24,-149.0,False
6,54,2011-01-07,-8.0,False
6,54,2011-03-11,-250.08,False
6,54,2012-09-14,-233.0,False
6,77,2012-10-26,-21.63,False
6,78,2010-03-05,-7.0,False
6,78,2010-03-19,-11.0,False
7,18,2011-03-04,-7.0,False
7,18,2011-03-18,-14.06,False
7,19,2011-05-06,-10.97,False
7,19,2011-12-02,-6.94,False
7,35,2012-09-14,-17.47,False
7,47,2011-10-28,-124.0,False
7,47,2011-12-30,-459.0,True
7,47,2012-09-28,-389.0,False
7,49,2010-10-22,-15.0,False
7,49,2011-02-04,-15.0,False
7,51,2010-11-26,-7.0,True
7,54,2011-11-25,-25.04,True
7,54,2012-06-15,-28.92,False
7,59,2010-05-21,-7.09,False
7,59,2011-11-25,-0.66,True
7,59,2012-06-29,-12.47,False
7,59,2012-08-03,-11.48,False
7,80,2012-07-13,-3.24,False
7,94,2010-06-11,-7.85,False
7,94,2010-12-03,-49.98,False
7,94,2010-12-17,-6.0,False
7,94,2011-02-04,-2.5,False
8,18,2011-07-01,-6.5,False
8,18,2011-08-12,-2.0,False
8,45,2010-07-23,-12.96,False
8,47,2010-07-09,-48.0,False
8,47,2010-11-05,-100.0,False
8,47,2010-12-31,-58.0,True
8,54,2010-10-29,-26.0,False
8,54,2010-12-31,-7.08,True
8,54,2011-09-23,-32.12,False
8,54,2011-12-09,-26.0,False
8,78,2011-10-28,-9.88,False
9,18,2010-05-07,-8.0,False
9,18,2011-03-04,-8.5,False
9,18,2012-04-20,-8.96,False
9,18,2012-04-27,-0.97,False
9,36,2012-03-02,-4.98,False
9,47,2010-03-19,-48.0,False
9,47,2010-09-24,-398.0,False
9,47,2010-12-10,-496.0,False
9,47,2011-01-07,-34.0,False
9,47,2011-02-04,-36.0,False
9,47,2011-07-01,-148.0,False
9,47,2011-07-08,-198.0,False
9,49,2010-02-05,-15.0,False
9,54,2011-03-25,-25.92,False
9,54,2011-06-17,-28.92,False
9,54,2011-12-09,-60.0,False
9,54,2012-06-01,-29.0,False
9,59,2011-06-10,-5.19,False
9,59,2012-02-10,-3.75,True
9,59,2012-05-18,-1.21,False
9,59,2012-06-08,-4.99,False
9,59,2012-07-13,-4.37,False
9,59,2012-08-17,-39.24,False
9,59,2012-08-24,-5.27,False
9,59,2012-08-31,-39.8,False
9,59,2012-09-07,-55.46,True
9,60,2010-07-02,-1.0,False
9,78,2012-01-20,-12.88,False
9,80,2010-12-31,-15.0,True
9,80,2012-03-16,-199.0,False
9,97,2011-06-17,-9.92,False
9,98,2012-01-27,-1.0,False
10,18,2010-09-03,-17.0,False
10,18,2011-05-27,-2.0,False
10,18,2011-06-03,-1.97,False
10,18,2011-06-24,-4.0,False
10,18,2011-08-12,-19.97,False
10,18,2012-04-27,-12.98,False
10,18,2012-05-18,-1.97,False
10,18,2012-07-06,-11.98,False
10,36,2012-02-10,-1.91,True
10,45,2010-07-30,-21.48,False
10,47,2010-03-05,-798.0,False
10,47,2010-07-23,-60.0,False
10,47,2010-07-30,-148.0,False
10,47,2010-08-06,-100.0,False
10,47,2010-09-24,-108.0,False
10,47,2010-10-15,-798.0,False
10,47,2010-12-17,-41.0,False
10,47,2011-01-07,-69.0,False
10,47,2011-03-11,-515.0,False
10,47,2011-06-10,-55.0,False
10,47,2011-06-24,-410.0,False
10,47,2011-08-05,-798.0,False
10,47,2011-09-02,-439.0,False
10,47,2012-02-10,-498.0,True
10,47,2012-03-16,-224.0,False
10,47,2012-05-25,-48.0,False
10,47,2012-06-01,-12.0,False
10,47,2012-08-24,-448.0,False
10,47,2012-09-28,-98.0,False
10,54,2010-11-19,-84.08,False
10,54,2011-08-05,-5.0,False
10,54,2012-01-20,-370.12,False
10,54,2012-03-30,-78.56,False
10,78,2010-03-12,-12.0,False
10,78,2010-11-12,-12.0,False
10,94,2010-02-26,-12.74,False
10,94,2010-07-02,-12.6,False
10,94,2010-09-24,-1.85,False
10,94,2010-11-12,-0.08,False
10,94,2011-01-21,-1.98,False
10,94,2011-04-01,-1.98,False
10,94,2011-06-17,-1.88,False
10,94,2011-07-15,-3.77,False
10,94,2011-09-09,-3.84,True
10,94,2011-12-09,-4.94,False
10,98,2010-06-11,-1.78,False
10,98,2010-06-18,-19.54,False
10,98,2010-08-27,-2.25,False
10,98,2011-01-14,-1.25,False
10,98,2011-09-02,-1.0,False
11,18,2010-05-21,-5.73,False
11,18,2010-06-25,-2.0,False
11,18,2011-06-03,-5.0,False
11,18,2011-07-08,-2.66,False
11,19,2010-03-12,-7.96,False
11,19,2010-03-26,-5.0,False
11,19,2010-11-12,-8.94,False
11,19,2011-01-21,-9.94,False
11,19,2011-04-01,-5.0,False
11,45,2010-03-19,-0.86,False
11,45,2010-08-20,-11.28,False
11,47,2010-06-18,-38.0,False
11,47,2010-10-01,-103.0,False
11,47,2010-12-03,-45.0,False
11,47,2011-03-25,-58.0,False
11,47,2011-06-24,-594.0,False
11,47,2011-08-19,-198.0,False
11,47,2012-01-06,-38.0,False
11,47,2012-04-20,-88.0,False
11,47,2012-05-04,-59.5,False
11,47,2012-08-31,-158.0,False
11,48,2011-04-22,-60.0,False
11,51,2010-06-25,-26.84,False
11,51,2012-08-10,-3.0,False
11,54,2011-02-04,-30.32,False
11,54,2011-03-18,-5.36,False
11,54,2012-03-30,-23.92,False
11,77,2012-08-31,-11.88,False
12,18,2011-05-06,-3.8,False
12,18,2011-06-03,-1.0,False
12,45,2012-07-13,-139.0,False
12,47,2010-03-12,-598.0,False
12,47,2010-03-26,-548.14,False
12,47,2010-04-30,-58.0,False
12,47,2011-01-28,-400.0,False
12,47,2011-02-04,-49.0,False
12,47,2011-03-18,-189.0,False
12,47,2011-04-01,-55.0,False
12,47,2011-05-13,-92.0,False
12,47,2011-08-12,-98.0,False
12,47,2011-12-16,-498.0,False
12,47,2011-12-30,-88.0,True
12,47,2012-02-24,-48.0,False
12,47,2012-05-11,-548.0,False
12,49,2010-03-26,-1.97,False
12,49,2010-04-16,-15.0,False
12,49,2010-06-04,-4.97,False
12,49,2011-03-11,-15.0,False
12,49,2011-04-01,-15.0,False
12,49,2011-05-20,-68.0,False
12,49,2011-07-01,-15.0,False
12,49,2012-10-12,-5.97,False
12,51,2010-11-26,-7.0,True
12,54,2012-10-19,-22.92,False
12,56,2012-09-14,-0.26,False
12,78,2010-02-19,-12.0,False
12,80,2012-02-17,-3.48,False
12,80,2012-08-03,-40.46,False
12,94,2010-09-03,-173.84,False
12,94,2011-03-11,-2.48,False
12,94,2011-03-18,-45.0,False
12,94,2011-07-15,-5.68,False
12,96,2012-01-13,-4.0,False
12,96,2012-03-23,-5.47,False
12,96,2012-07-13,-39.97,False
13,18,2010-04-30,-2.11,False
13,18,2010-05-07,-3.75,False
13,18,2010-05-21,-4.0,False
13,18,2010-06-11,-4.38,False
13,18,2010-07-16,-4.0,False
13,18,2012-05-11,-1.77,False
13,18,2012-06-01,-1.72,False
13,18,2012-06-15,-1.59,False
13,47,2012-08-10,-98.0,False
13,51,2010-04-09,-14.56,False
13,51,2010-06-25,-53.52,False
13,51,2010-10-01,-11.08,False
13,51,2011-01-14,-21.84,False
13,51,2011-09-23,-14.24,False
13,54,2012-06-29,-10.0,False
14,18,2010-05-07,-1.4,False
14,18,2010-07-16,-1.5,False
14,18,2011-03-04,-4.15,False
14,18,2011-06-03,-0.9,False
14,18,2011-06-10,-10.54,False
14,18,2011-06-17,-3.5,False
14,18,2012-05-18,-2.92,False
14,18,2012-05-25,-2.16,False
14,19,2010-07-23,-10.0,False
14,45,2010-04-16,-19.0,False
14,47,2010-03-05,-59.0,False
14,47,2010-06-04,-90.0,False
14,47,2010-07-30,-25.0,False
14,47,2010-09-24,-498.0,False
14,47,2011-05-20,-198.0,False
14,47,2011-12-09,-59.0,False
14,47,2011-12-23,-59.0,False
14,47,2012-01-06,-109.0,False
14,47,2012-03-16,-109.0,False
14,47,2012-03-23,-65.0,False
14,54,2011-03-18,-20.0,False
14,54,2011-09-23,-465.08,False
14,54,2011-11-04,-42.78,False
14,54,2012-04-06,-5.12,False
14,54,2012-04-13,-2.0,False
14,54,2012-08-17,-18.0,False
14,54,2012-10-12,-5.04,False
14,78,2011-05-27,-2.0,False
14,96,2012-01-06,-19.02,False
14,96,2012-03-23,-4.99,False
14,99,2011-09-16,-30.0,False
14,99,2012-05-18,-12.0,False
15,18,2011-05-20,-1.66,False
15,18,2011-05-27,-39.0,False
15,18,2011-09-02,-14.94,False
15,18,2012-05-04,-7.71,False
15,37,2011-11-11,-2.5,False
15,45,2010-10-01,-13.8,False
15,45,2011-09-30,-19.86,False
15,47,2010-02-26,-40.0,False
15,47,2010-03-12,-99.0,False
15,47,2010-07-16,-59.0,False
15,47,2010-07-23,-179.0,False
15,47,2010-12-31,-89.0,True
15,47,2011-04-08,-40.0,False
15,47,2011-11-18,-99.0,False
15,47,2012-05-25,-28.0,False
15,54,2010-03-26,-62.5,False
15,54,2010-09-10,-28.0,True
15,54,2010-09-24,-23.0,False
15,54,2010-11-12,-5.92,False
15,54,2011-06-10,-4.5,False
15,54,2011-08-12,-6.68,False
15,54,2012-03-30,-8.0,False
15,54,2012-04-27,-5.88,False
15,56,2010-11-12,-20.0,False
15,78,2010-06-18,-7.0,False
15,78,2011-07-29,-9.88,False
15,78,2011-12-30,-12.88,True
15,80,2010-02-05,-0.04,False
15,80,2010-02-12,-50.97,True
15,80,2011-03-04,-41.02,False
15,80,2011-10-14,-14.97,False
15,80,2011-12-02,-45.25,False
15,94,2010-08-27,-3.0,False
15,94,2010-12-31,-2.88,True
15,94,2011-01-07,-5.98,False
15,94,2011-05-20,-9.98,False
15,94,2011-06-03,-2.5,False
15,94,2011-07-08,-2.5,False
15,94,2011-09-16,-2.5,False
15,94,2011-11-04,-1.48,False
15,94,2012-06-15,-2.96,False
15,94,2012-07-27,-45.0,False
15,94,2012-08-03,-2.98,False
15,98,2010-04-09,-22.62,False
15,98,2010-09-10,-1.0,True
16,18,2010-04-30,-1.5,False
16,45,2010-04-30,-21.96,False
16,47,2011-02-11,-500.0,True
16,47,2012-03-09,-1699.0,False
16,47,2012-04-13,-75.0,False
16,47,2012-06-01,-58.0,False
16,47,2012-09-14,-400.0,False
16,49,2010-06-11,-15.0,False
16,51,2011-01-14,-10.96,False
16,54,2011-04-29,-39.97,False
16,54,2011-08-05,-5.0,False
16,54,2012-04-13,-13.92,False
16,54,2012-05-04,-9.12,False
16,54,2012-09-07,-30.92,True
16,59,2012-01-06,-12.5,False
16,59,2012-02-10,-8.0,True
16,59,2012-06-01,-9.63,False
16,59,2012-06-08,-2.5,False
16,78,2011-09-30,-12.88,False
16,80,2011-04-22,-22.6,False
16,80,2011-05-27,-5.46,False
16,80,2011-06-10,-9.53,False
16,80,2011-06-17,-43.48,False
16,80,2011-07-01,-26.85,False
16,80,2011-07-08,-11.54,False
16,80,2011-07-15,-590.04,False
16,80,2011-07-29,-2.58,False
16,80,2011-08-05,-2.08,False
16,80,2011-08-26,-83.57,False
16,80,2011-09-02,-43.0,False
16,80,2011-09-09,-486.27,True
16,83,2011-06-10,-5.48,False
16,93,2011-03-04,-18.66,False
16,94,2010-09-10,-4.1,True
16,94,2011-03-11,-3.98,False
16,94,2011-06-17,-3.88,False
16,94,2011-08-05,-4.88,False
16,98,2010-04-09,-15.86,False
17,18,2011-05-06,-6.0,False
17,18,2011-06-10,-2.97,False
17,41,2010-04-02,-15.0,False
17,41,2010-09-03,-28.0,False
17,41,2010-10-08,-2.0,False
17,41,2010-10-22,-9.0,False
17,41,2010-12-31,-17.5,True
17,41,2011-01-28,-2.0,False
17,41,2011-08-26,-2.0,False
17,41,2011-12-30,-4.03,True
17,41,2012-01-13,-9.97,False
17,41,2012-02-03,-36.0,False
17,41,2012-02-24,-14.0,False
17,41,2012-03-02,-33.94,False
17,41,2012-03-30,-8.0,False
17,47,2010-02-19,-17.74,False
17,47,2010-03-19,-20.0,False
17,47,2011-01-21,-63.0,False
17,47,2012-03-02,-259.0,False
17,47,2012-06-15,-68.0,False
17,49,2010-04-02,-15.0,False
17,49,2010-05-21,-7.94,False
17,49,2010-06-18,-15.0,False
17,49,2010-06-25,-15.0,False
17,49,2010-11-05,-15.0,False
17,49,2011-01-07,-17.97,False
17,49,2011-02-11,-31.94,True
17,49,2011-05-06,-7.94,False
17,49,2011-06-10,-1.97,False
17,49,2012-07-06,-33.18,False
17,49,2012-09-07,-36.16,True
17,51,2012-08-24,-5.36,False
17,54,2010-07-02,-10.0,False
17,54,2010-07-09,-75.0,False
17,54,2010-12-31,-20.0,True
17,54,2011-07-22,-18.04,False
17,54,2012-10-26,-11.0,False
17,56,2011-12-30,-1.18,True
17,77,2011-01-28,-20.97,False
17,78,2010-02-12,-3.0,True
17,78,2011-10-28,-9.88,False
17,78,2012-01-13,-19.76,False
17,94,2010-04-23,-3.0,False
17,94,2010-11-26,-1.98,True
17,94,2010-12-10,-4.26,False
17,94,2010-12-31,-24.88,True
17,94,2011-04-29,-2.5,False
17,94,2011-07-29,-3.13,False
17,94,2012-08-10,-1.5,False
18,18,2010-04-30,-3.26,False
18,18,2010-06-18,-3.0,False
18,18,2011-05-20,-0.6,False
18,18,2011-05-27,-3.53,False
18,18,2011-06-03,-9.0,False
18,18,2011-06-10,-3.69,False
18,18,2011-06-24,-7.33,False
18,18,2011-08-05,-5.0,False
18,18,2012-05-11,-1.53,False
18,18,2012-06-22,-5.79,False
18,18,2012-06-29,-2.94,False
18,45,2010-12-03,-1.56,False
18,47,2010-06-25,-38.0,False
18,47,2010-10-01,-17.0,False
18,47,2011-03-11,-19.0,False
18,47,2011-07-22,-84.0,False
18,47,2012-02-10,-259.0,True
18,47,2012-04-27,-224.0,False
18,47,2012-07-27,-48.0,False
18,51,2010-06-11,-17.0,False
18,51,2010-07-02,-1.56,False
18,54,2011-04-01,-10.92,False
18,54,2011-07-15,-17.06,False
18,54,2011-08-19,-15.08,False
18,60,2010-08-06,-7.5,False
18,77,2011-12-16,-9.0,False
18,78,2010-04-23,-12.0,False
18,78,2010-08-06,-5.0,False
18,78,2012-01-06,-12.88,False
18,78,2012-06-08,-3.0,False
18,80,2010-12-03,-32.72,False
18,94,2010-05-21,-10.02,False
18,94,2010-08-06,-14.66,False
18,94,2010-11-05,-3.87,False
18,94,2011-08-19,-1.88,False
18,96,2011-12-16,-11.95,False
18,96,2011-12-23,-24.82,False
18,96,2012-01-13,-63.8,False
18,96,2012-04-27,-6.43,False
18,96,2012-06-01,-8.01,False
18,96,2012-09-07,-29.4,True
18,96,2012-09-28,-12.87,False
18,96,2012-10-12,-0.95,False
18,96,2012-10-19,-2.99,False
18,96,2012-10-26,-11.51,False
18,97,2011-09-16,-3.38,False
18,97,2011-09-23,-3.28,False
18,98,2010-03-19,-2.5,False
18,98,2010-06-18,-6.0,False
18,98,2011-02-25,-0.07,False
18,98,2011-05-06,-2.48,False
18,98,2011-09-16,-2.5,False
19,18,2010-05-14,-8.0,False
19,18,2010-06-11,-3.0,False
19,18,2012-05-04,-3.02,False
19,19,2010-02-19,-9.38,False
19,19,2010-04-02,-9.96,False
19,19,2010-10-29,-7.0,False
19,19,2010-11-05,-15.0,False
19,19,2011-03-25,-9.0,False
19,19,2011-05-06,-2.44,False
19,19,2011-09-30,-1.94,False
19,19,2012-01-13,-17.0,False
19,19,2012-03-16,-6.94,False
19,19,2012-06-08,-1.94,False
19,47,2010-06-04,-70.0,False
19,47,2010-07-09,-78.0,False
